first,A,A,A,A,gsc,gsc,gsc,gsc,ci,ci,ci,ci,Tl,Tl,Tl,Tl,Ta,Ta,Ta,Ta,dT,dT,dT,dT,Pa,Pa,Pa,Pa,Ca,Ca,Ca,Ca,VPD,VPD,VPD,VPD,A_farq
second,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,mod
36,1.214905935510896e-07,4.245209936341502e-09,,0.18858208955223654,0.09839106643393093,0.0019514736361132539,,0.13252834809053649,39.50068948707233,39.40965809783605,,39.48605292101434,51.34234279850527,56.32023156020102,,50.5,55,55,55,55,-3.657657201494729,1.320231560201023,,-4.5,,,,101325.0,,,,39.630234,,,,9215.90746608287,0.21064701966355337
37,1.6768652864884163e-05,1.680516182044758e-05,,15.737219430485759,0.15785527204263905,0.16280343430037475,,0.09789850813041796,24.657404391160526,24.960634323148234,,19.67930605276527,20.983074987362812,20.95979174387864,,21.4,20,20,20,20,0.9830749873628122,0.9597917438786396,,1.3999999999999986,,,,101325.0,,,,35.967335250000005,,,,597.0686146751912,15.790564292777269
38,1.8145737026094838e-05,1.8164934594432055e-05,,18.450686767169163,0.172229622719994,0.1741603482851787,,0.14365622293765112,24.153600937390852,24.26014205596738,,22.41649546834411,25.709678154128568,25.700152354897007,,26.0,25,25,25,25,0.7096781541285679,0.700152354897007,,1.0,,,,101325.0,,,,35.43031275,,,,704.1453487313523,17.795573135047963
39,1.8516943756309894e-05,1.8455196174032495e-05,,19.894304857621428,0.1526568209509268,0.14984876823511462,,0.14838237840020496,22.14402251529461,21.957540902283533,,21.47334332202464,30.087108145764535,30.109963265138195,,30.4,30,30,30,30,0.0871081457645353,0.10996326513819454,,0.3999999999999986,,,,101325.0,,,,35.05845,,,,1364.2797261859353,18.44200302680678
40,1.8079322792265208e-05,1.7822928760572603e-05,,19.60469011725293,0.14006475073187805,0.13330080671223624,,0.14955114207560732,21.33604611437581,20.876071694873204,,21.751416812667077,34.46441000741803,34.54115085987182,,34.6,35,35,35,35,-0.5355899925819685,-0.45884914012818,,-0.3999999999999986,,,,101325.0,,,,35.034132,,,,2154.4547431738533,18.36759106216007
41,1.6116320152277898e-05,1.5432685176856964e-05,,14.60103852596314,0.11398781484528923,0.10328434186426401,,0.10866551870240472,21.265841059673463,20.475685403134527,,22.53804351670698,38.75247305530212,38.94565797039086,,39.2,40,40,40,40,-1.2475269446978814,-1.0543420296091384,,-0.7999999999999972,,,,101325.0,,,,36.15276,,,,3590.8637832184636,15.620933789309587
42,1.1975734820483729e-05,9.044632832212922e-06,,7.382948073701839,0.09331076943058801,0.06307976199306192,,0.06482066718543036,24.323882266096597,22.90344210222142,,26.21094783096031,42.837333913279565,43.76322955026468,,44.2,45,45,45,45,-2.162666086720435,-1.2367704497353174,,-0.7999999999999972,,,,101325.0,,,,37.7516685,,,,5923.302961199989,8.445381286641611
43,3.4095973150116764e-06,3.8718845305362144e-07,,3.6536013400334957,0.125998530774764,0.013749594034481843,,0.1216753746973206,35.778947174263536,35.77611043383879,,35.60079703708233,47.09791738297109,50.76085313854473,,47.0,50,50,50,50,-2.90208261702891,0.7608531385447321,,-3.0,,,,101325.0,,,,38.643328499999996,,,,6193.658908609779,3.571454315190892
44,2.0713809363795806e-07,1.2789281570853525e-08,,0.6638860971524327,0.11111472117759018,0.002367855177768813,,0.1260971695853895,39.441896694428905,39.090595991717464,,39.10487633055246,51.90226315620229,56.31857572350629,,50.1,55,55,55,55,-3.097736843797712,1.3185757235062923,,-4.899999999999999,,,,101325.0,,,,39.63833999999999,,,,7528.470097884043,0.632504478309687
45,1.2983710074029587e-05,1.2962957436328982e-05,,12.33758793969849,0.19586569055995087,0.19271697761846984,,0.05347459784112497,29.409172532611162,29.311018544157,,13.171371802140648,20.770670366118345,20.784719867881424,,21.2,20,20,20,20,0.7706703661183454,0.7847198678814244,,1.1999999999999993,,,,101325.0,,,,36.54894075,,,,628.8432064568145,9.173779485250618
