first,A,A,A,A,gsc,gsc,gsc,gsc,ci,ci,ci,ci,Tl,Tl,Tl,Tl,Ta,Ta,Ta,Ta,dT,dT,dT,dT,Pa,Pa,Pa,Pa,Ca,Ca,Ca,Ca,VPD,VPD,VPD,VPD,A_farq
second,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,LTO,LT,AT,obs,mod
22,1.3396694419303828e-06,5.834081170223885e-07,,1.9160153256704935,0.0914445615660698,0.020180548676927493,,0.10678470852592599,40.86573675148877,39.4693246866638,,40.61787031383051,51.889129219751474,55.17213551363786,,49.5,55,55,55,55,-3.1108707802485256,0.17213551363786195,,-5.5,,,,101325.0,,,,42.435923249999995,,,,6996.38003986504,2.2994255365154346
23,9.5629712367264e-06,9.655118675245727e-06,,8.669629629629643,0.14146858000517368,0.19615846023933997,,0.07502187017281452,33.00198846638709,34.85875053878733,,28.689022316162347,21.53398940905512,21.172726357871287,,20.9,20,20,20,20,1.5339894090551205,1.1727263578712872,,0.8999999999999986,,,,101325.0,,,,40.3982775,,,,580.4975795371423,8.629238492768986
24,1.0864520767404749e-05,1.1022245817931857e-05,,10.803065134099622,0.16209094078654132,0.20192822720752648,,0.20828812158070967,32.37187548091306,33.62342176307012,,34.540074500848824,25.885537729855464,25.599662428005736,,25.5,25,25,25,25,0.8855377298554643,0.5996624280057361,,0.5,,,,101325.0,,,,39.79539375000001,,,,809.3321768902701,11.023772709695978
25,1.1269356226509726e-05,1.1414881319529323e-05,,11.988684546615588,0.16576907681387926,0.18244824572616325,,0.19945159606426394,31.942678509936773,32.48297146419369,,33.407030759860554,30.039889149773412,29.88806650002668,,29.6,30,30,30,30,0.03988914977341196,-0.11193349997331836,,-0.3999999999999986,,,,101325.0,,,,39.49749825000001,,,,1301.7693432459905,11.53498457896596
26,1.1394178026605998e-05,1.1526196053966565e-05,,11.217522349936155,0.17941335248451568,0.19692913126378617,,0.16304170777880203,32.473766176075586,32.97038496372365,,32.611294109177834,30.183125973066552,30.04828245738757,,30.0,30,30,30,30,0.1831259730665522,0.04828245738757175,,0.0,,,,101325.0,,,,39.58261125,,,,1118.721467590833,11.259337590605382
27,1.0334121512618005e-05,1.0177482244467452e-05,,10.911775223499362,0.17536609797913094,0.16374202921525835,,0.1733166300570045,33.0896600427573,32.77212727841694,,33.30262794560866,34.324580838567265,34.4406635371696,,34.2,35,35,35,35,-0.6754191614327354,-0.5593364628304016,,-0.7999999999999972,,,,101325.0,,,,39.681909749999996,,,,1749.156927657113,10.37433810266746
28,7.958408801451545e-06,7.128042058970719e-06,,7.253001277139196,0.13005121047501242,0.10009558357983549,,0.07829272231823663,34.00537434605442,33.04103901181053,,31.305419261469833,37.78125705291884,38.43106123814339,,39.6,40,40,40,40,-2.218742947081161,-1.5689387618566073,,-0.3999999999999986,,,,101325.0,,,,40.69212,,,,3755.462043484941,5.971831485307477
29,4.689872337027487e-06,3.304551228464196e-06,,5.163729246487863,0.12009984927179178,0.06491174063598687,,0.08407985806171828,37.04211511755538,35.92653055859696,,35.067105088504725,42.05142012871469,43.64415653284638,,43.6,45,45,45,45,-2.948579871285311,-1.355843467153619,,-1.3999999999999986,,,,101325.0,,,,41.2899375,,,,5008.241291425113,3.4660827981589275
30,1.8979861441620323e-06,9.539201642137832e-07,,2.445977011494249,0.1117458098098752,0.03665519813782151,,0.10967650296240532,40.19402519805245,39.33763878352705,,39.7749522982379,46.88050252306451,49.52077980284801,,46.9,50,50,50,50,-3.119497476935493,-0.4792201971519887,,-3.1000000000000014,,,,101325.0,,,,42.034676250000004,,,,5827.902299966047,1.8877241427442297
31,6.150762318147602e-07,2.123118276445147e-07,,0.8357088122605294,0.0951172794882536,0.017871506296046048,,0.09796941054197209,41.77071079336756,41.247983387435674,,41.6009744910143,51.58923835050142,55.29160572724686,,49.8,55,55,55,55,-3.410761649498582,0.2916057272468606,,-5.200000000000003,,,,101325.0,,,,42.4653075,,,,7332.6740210762955,0.9675941873986948
